Cartpole performance test with 60 cores

MaxTicks: 200

Parallel Naive
Episodes
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,103,53,21,15,16,15,10,7,6,1,1,13,1,2,4,2,1,29,39,1,17,37,21,48,5,18,40,29,43,27,7
,134,35,18,14,17,9,3,1,1,10,7,1,8,11,1,33,2,28,4,33,10,46,23,28,24,27,29,37,8,3,91
,100,40,19,14,13,10,1,2,6,1,4,5,12,3,7,1,15,1,21,33,5,4,1,15,32,12,7,51,8,17,43
,91,43,24,18,17,18,7,9,5,4,4,1,4,9,3,6,1,10,17,3,20,38,47,20,12,2,1,39,43,10,29
,66,30,10,9,10,9,8,6,1,1,5,15,1,6,1,2,35,26,25,24,20,81,8,31,1,53,52,34,23,25,9
,59,56,22,11,13,11,6,8,6,18,3,1,1,1,1,1,4,1,19,26,25,24,4,58,1,42,15,8,33,24,8
,89,31,25,24,9,12,5,6,20,9,2,4,2,11,1,8,31,3,24,3,3,32,15,30,26,1,18,39,2,44,1
,127,27,15,18,5,7,9,6,10,1,1,1,2,1,42,2,50,53,18,23,21,50,33,29,32,8,22,39,4,29,50
,71,47,29,26,7,4,10,7,13,1,2,2,4,3,5,2,25,2,35,19,23,36,7,62,20,24,28,35,45,4,98
,112,49,31,31,5,6,11,11,13,6,5,1,4,7,3,9,15,3,6,7,13,1,48,16,1,1,10,55,1,18,7
Average (episodes),95.2,41.1,21.4,18.0,11.2,10.1,7.0,6.3,8.1,5.2,3.4,4.4,3.9,5.4,6.8,6.6,17.9,15.6,20.8,17.2,15.7,34.9,20.7,33.7,15.4,18.8,22.2,36.6,21.0,20.1,34.3
Speed-ups,1,2.316301703163017,4.4485981308411215,5.288888888888889,8.5,9.425742574257427,13.6,15.111111111111112,11.753086419753087,18.307692307692307,28.0,21.636363636363637,24.410256410256412,17.62962962962963,14.0,14.424242424242426,5.318435754189944,6.102564102564103,4.576923076923077,5.534883720930233,6.063694267515924,2.727793696275072,4.599033816425121,2.8249258160237387,6.181818181818182,5.0638297872340425,4.288288288288289,2.601092896174863,4.533333333333333,4.736318407960199,2.775510204081633

Processing Times
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,11762837,6584808,1200345,3388836,1117363,1850160,1667862,0,1158810,920095,210306,0,140958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3871884,2405165,803071,2869595,972201,1600989,1058361,577708,76650,0,101881,0,0,0,0,0,0,0,0,0,0,0,-3108,0,0,0,0,0,0,0,0
,4521553,2243230,1453093,2283812,1900456,1279707,858690,1296569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4051154,1639860,3097621,4492607,793162,2599894,1047736,1680671,0,96941,795671,0,41504,448365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2411942,1258430,1139219,2409242,1248185,1901599,1317060,1651633,778511,72945,1088677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1950848,2322865,2347009,2011476,1903212,0,996187,1214204,902491,62091,387251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3268544,1066602,2522672,2268454,987969,187032,1068028,1334387,230663,825647,0,0,0,0,28745,0,0,0,0,0,0,0,0,0,0,0,905510,0,0,0,0
,5738878,872295,966143,1430255,1491905,0,1513097,1502374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2335083,1439534,2117750,1193988,1596782,1428604,1397221,819607,1879056,271995,256483,438003,139813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3061044,1258528,0,5542947,1734014,1733472,1437944,1878065,1400219,915309,267598,368730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average (processing times),4297376.7,2109131.7,1564692.3,2789121.2,1374524.9,1258145.7,1236218.6,1195521.8,642640.0,316502.3,310786.7,80673.3,32227.5,44836.5,2874.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-310.8,0.0,0.0,0.0,90551.0,0.0,0.0,0.0,0.0
Speed-ups,1,2.037509890918618,2.746467596216841,1.5407637000500372,3.1264451447914845,3.415643116691493,3.4762271818269035,3.5945615546282803,6.687066942611727,13.577710809684481,13.82741507278143,53.26888450081997,133.34502210844775,95.84549864507711,1494.9997216907288,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,-13826.82335907336,Infinity,Infinity,Infinity,47.458081081379554,Infinity,Infinity,Infinity,Infinity


Stop Walk
Episodes
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,103,37,22,22,20,9,7,4,5,15,4,1,1,3,30,20,9,11,2,59,35,1,18,1,1,9,3,22,27,46,16
,134,67,36,34,12,5,11,1,9,29,8,8,2,52,13,1,1,1,6,37,18,54,2,61,31,15,2,31,56,58,15
,100,46,26,28,2,9,5,1,8,23,4,38,11,47,3,15,27,61,2,2,1,35,63,28,35,30,48,44,21,58,22
,91,52,32,12,22,7,13,1,1,30,25,1,1,4,37,2,4,1,36,28,55,10,40,26,11,5,24,26,31,6,44
,66,27,24,21,10,1,16,29,1,1,2,14,3,2,23,33,1,18,1,4,4,15,3,76,27,32,1,38,1,6,2
,59,42,28,16,9,1,4,3,18,37,1,7,48,8,17,1,3,1,89,1,30,37,48,35,86,3,52,6,7,8,42
,89,42,23,18,11,4,4,3,16,11,5,1,1,16,1,40,1,39,33,5,1,28,42,10,52,67,1,3,45,17,7
,127,43,44,16,8,10,6,3,1,10,4,1,3,70,3,16,1,33,1,66,41,40,27,22,1,30,14,95,25,29,1
,71,71,17,26,18,6,19,2,3,2,11,9,1,36,22,3,44,5,1,44,7,49,20,1,18,22,25,36,1,109,9
,112,42,28,15,15,12,1,2,8,1,3,1,20,4,2,6,5,35,31,17,37,61,55,5,35,1,57,1,16,21,28
Average (episodes),95.2,46.9,28.0,20.8,12.7,6.4,8.6,4.9,7.0,15.9,6.7,8.1,9.1,24.2,15.1,13.7,9.6,20.5,20.2,26.3,22.9,33.0,31.8,26.5,29.7,21.4,22.7,30.2,23.0,35.8,18.6
Speed-ups,1,2.029850746268657,3.4,4.576923076923077,7.496062992125985,14.875,11.069767441860465,19.428571428571427,13.6,5.987421383647799,14.208955223880597,11.753086419753087,10.461538461538462,3.9338842975206614,6.304635761589404,6.9489051094890515,9.916666666666668,4.643902439024391,4.7128712871287135,3.6197718631178706,4.157205240174673,2.8848484848484848,2.9937106918238996,3.5924528301886793,3.2053872053872055,4.4485981308411215,4.193832599118943,3.152317880794702,4.139130434782609,2.659217877094972,5.118279569892473

Processing Times
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,11762837,8321410,3015260,777586,2239606,1467137,2360475,0,215058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3871884,7083436,6260022,1712113,1067258,760078,2863436,394876,574811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4521553,4789449,3565688,1029589,474856,1676038,3249424,202075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4051154,3579246,4198045,727540,2527725,1188051,1217190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2411942,1383582,2698756,885240,2624688,1109760,2105465,0,0,450378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1950848,3398941,2131801,932156,1428455,563107,2137972,430479,516526,0,1162935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3268544,2827290,1868051,2879000,2436807,471170,2015658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5738878,2000979,2436770,2303399,2055195,1169134,1791124,278870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2335083,3991036,1904340,3431036,1717961,2487314,0,112201,0,761968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3061044,2310711,1235289,2749709,1694301,1613358,297310,0,446893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average (processing times),4297376.7,3968608.0,2931402.2,1742736.8,1826685.2,1250514.7,1803805.4,141850.1,175328.8,121234.6,116293.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Speed-ups,1,1.0828423215394416,1.4659798986300823,2.4658782094921046,2.3525546164166657,3.4364863523795446,2.382394852571126,30.295196831020917,24.510386770456424,35.44678416887588,36.95285377084704,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity



MaxTicks: 500

Parallel Naive
Episodes
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,342,92,22,58,72,14,32,24,41,8,1,16,11,1,1,48,2,2,3,100,2,7,29,7,2,22,58,9,52,20,23
,199,154,80,65,28,124,61,33,60,12,35,2,35,6,7,1,1,14,15,6,1,17,55,1,1,58,1,31,1,6,1
,157,84,101,43,126,13,180,9,7,2,87,3,47,42,11,12,1,8,4,3,1,7,11,3,8,1,1,1,4,1,5
,554,167,12,34,18,79,22,13,50,2,5,2,57,40,16,1,1,1,2,6,20,11,2,3,1,1,15,4,1,4,1
,264,99,125,36,80,62,66,62,27,10,8,34,51,8,6,70,74,11,17,7,31,1,2,18,45,2,5,18,7,14,3
,223,61,36,83,71,33,24,15,55,6,3,11,4,116,3,12,5,1,1,1,102,1,11,23,3,53,4,1,3,1,1
,357,144,95,43,51,22,32,8,12,7,1,135,2,2,10,1,21,1,1,5,2,21,29,1,8,7,2,3,1,7,11
,418,119,29,111,99,7,31,2,6,3,19,1,5,38,8,29,10,23,8,16,7,21,11,1,2,2,1,1,6,1,1
,113,98,102,61,16,21,22,21,12,27,24,17,18,81,12,95,1,9,3,1,79,6,9,113,1,1,30,4,1,7,12
