Cartpole performance test with 60 cores

MaxTicks: 750

Parallel Naive
Episodes
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,313,324,511,531,528,451,775,452,285,556,524,472,369,2106,573,657,841,594,941,1194,1147,873,1683,236,1332,1944,387,1577,1356,672,1869
,268,687,780,838,1407,851,225,715,405,387,385,459,630,890,946,782,542,1125,789,872,732,1230,964,774,1233,1386,1835,1373,2696,567,1834
,585,433,530,739,969,570,430,465,866,281,841,533,559,825,973,751,496,1051,1009,1030,1205,656,268,2210,861,658,837,1716,1381,590,1700
,214,547,598,720,277,628,427,624,132,509,444,780,786,469,1018,533,1368,1053,862,1166,685,1265,658,1251,852,1032,738,1863,1269,309,1988
,314,369,598,185,600,282,337,380,555,515,350,627,739,428,669,749,708,512,721,950,1029,613,239,605,2253,661,974,984,2255,1549,1674
,284,705,919,353,482,384,817,767,446,694,868,835,606,245,1231,747,938,1147,1184,353,326,725,571,1115,1878,1720,1803,1432,1137,1519,802
,203,189,451,298,315,670,417,436,145,377,420,1008,519,507,802,727,925,1358,716,828,433,913,355,2023,1312,1651,1571,2147,863,1747,2111
,550,695,143,708,477,542,422,779,463,835,621,615,520,549,573,1274,631,874,984,1082,577,724,672,729,701,923,1794,640,1594,1905,2067
,353,353,309,668,618,499,1035,431,1068,730,612,608,805,645,729,555,849,611,992,1659,581,707,290,1276,1275,1282,1051,1649,499,1846,1419
,295,254,395,576,725,983,391,621,696,631,858,843,482,585,493,1194,678,529,746,700,629,846,1120,1839,1748,1137,1351,1407,1909,1558,1610
Average (total episodes),337.9,455.6,523.4,561.6,639.8,586.0,527.6,567.0,506.1,551.5,592.3,678.0,601.5,724.9,800.7,796.9,797.6,885.4,894.4,983.4,734.4,855.2,682.0,1205.8,1344.5,1239.4,1234.1,1478.8,1495.9,1226.2,1707.4
SD (total episodes),129.38,191.19,222.63,216.46,334.55,210.25,256.47,151.76,301.59,174.07,202.13,180.76,140.94,519.94,236.65,246.09,252.15,303.95,153.77,343.42,297.77,227.70,461.23,650.44,492.35,440.50,510.77,428.94,650.14,614.99,383.94
Speed-ups,1,0.74,0.65,0.60,0.53,0.58,0.64,0.60,0.67,0.61,0.57,0.50,0.56,0.47,0.42,0.42,0.42,0.38,0.38,0.34,0.46,0.40,0.50,0.28,0.25,0.27,0.27,0.23,0.23,0.28,0.20
Average (total episodes) / numAgents,337.9,227.80,130.85,93.60,79.98,58.60,43.97,40.50,31.63,30.64,29.62,30.82,25.06,27.88,28.60,26.56,24.93,26.04,24.84,25.88,18.36,20.36,15.50,26.21,28.01,24.79,23.73,27.39,26.71,21.14,28.46
Speed-ups * numAgents,1,1.48,2.58,3.61,4.23,5.77,7.69,8.34,10.68,11.03,11.41,10.96,13.48,12.12,11.82,12.72,13.56,12.98,13.60,13.06,18.40,16.59,21.80,12.89,12.06,13.63,14.24,12.34,12.65,15.98,11.87

Learning Times
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,80452560,58596270,43167479,45166440,60503240,61138379,130212971,67492880,28005158,120876603,50394365,68652226,35952047,683088474,47434218,66268406,73845027,79364663,195787035,182873528,104388363,72213171,860591971,111581680,109047059,168291479,85144426,136974852,114218139,74308050,159197875
,22492617,93324606,63090356,91902361,234501855,140254740,19875903,125570446,40066017,47984085,34772174,41779970,108839827,83413102,76173987,88135366,39331802,153700340,63401802,104869146,56997169,109509703,301100652,282631207,113213529,119588572,155399703,295018112,755163095,46932497,161944468
,40555094,37145738,44596047,83724163,147416492,82260462,67042482,50654884,174774270,25536853,191262533,45535917,44331958,65696418,81982969,60594420,36805473,135228528,82808363,121102789,108499165,130536657,65847218,189148305,86514962,83787710,64689441,317825751,270147187,49477779,212271725
,8818080,50888968,61126128,95466065,41303522,119009488,54670179,148747152,9413741,63175221,89304592,67954732,100727543,39546933,81450063,40284696,121923440,168057006,72651728,175560611,57451509,105337298,201461797,130544164,68174992,209179342,68735113,166648971,112558276,27473840,160180771
,12712173,41366285,64278522,19668662,124335704,40084171,49460808,65658529,117595928,75651745,34226641,74666873,59375465,33484534,58024273,128020203,57055984,46705529,81165062,81677829,79021237,157063910,53146488,49762383,195583760,404309914,175017034,151114813,296892729,245459807,168498309
,12932836,36241783,101094261,33641639,92185394,40431939,129046519,162588282,110495361,55247687,198554547,65124463,51109629,17741152,99842149,57850583,130167588,95768838,97858569,25089611,25512780,56495848,171315968,92319610,346543020,264996624,152293103,170039775,93030915,121111082,707615577
,8876503,8527547,51179895,34346643,43321032,71001720,40997203,41472080,11014010,29813458,38218635,273567599,39041277,42402874,70364216,57961114,113251038,150912698,59065591,84989694,34705851,71373563,103340326,352578584,196708366,150642311,297718520,190080676,162018682,148306221,447139892
,23247765,43688138,10553344,61700877,71578823,93950273,47234087,188641864,93064081,140802244,97104232,180711160,45547756,48558435,48504751,105621125,51600681,70770012,280523308,87766678,96732387,139920392,352385547,62112192,122664782,83855219,155113119,53048589,133831154,159368808,175463479
,17090621,16080877,24725272,77860703,97239230,64086679,189115542,84378636,282746072,192910562,107139295,113674195,63922861,97930024,119054488,60295215,68136706,61861536,164875790,140326182,48272245,55310836,122242005,107592456,104798887,107714818,86521684,261683582,52387402,154066267,303130007
,11932571,15213247,33151769,64845762,106803366,155594298,56457554,107356793,113638673,52235436,225075484,74796749,39048777,69634332,38999437,99078717,62992067,52042395,58709937,60834023,51212653,173170451,492499752,318487716,153780867,337012031,178800605,114353145,169479241,278488806,128172566
Average (learning times),2.3911082E7,4.01073459E7,4.96963073E7,6.08323315E7,1.019188658E8,8.67812149E7,7.84113248E7,1.042561546E8,9.80813311E7,8.04233894E7,1.066052498E8,1.006463884E8,5.8789714E7,1.181496278E8,7.21830551E7,7.64109845E7,7.55109806E7,1.014411545E8,1.156847185E8,1.065090091E8,6.62793359E7,1.070931829E8,2.723931724E8,1.696758297E8,1.497030224E8,1.92937802E8,1.419432748E8,1.856788266E8,2.15972682E8,1.304993157E8,2.623614669E8
SD (total learning times),22025722.44,24771292.13,25088105.16,26617452.31,57768689.85,40077163.37,53034561.57,50572625.34,84658865.37,54068149.06,73243611.02,72787035.50,25895327.49,199968153.10,25028647.59,27428248.91,34154860.05,46212975.98,74263292.27,49559390.14,29247417.20,42470162.06,249165289.08,110267456.64,81273575.66,110425431.59,70557426.81,83043217.92,204111213.03,84479114.43,183212309.71
Speed-ups,1,0.60,0.48,0.39,0.23,0.28,0.30,0.23,0.24,0.30,0.22,0.24,0.41,0.20,0.33,0.31,0.32,0.24,0.21,0.22,0.36,0.22,0.09,0.14,0.16,0.12,0.17,0.13,0.11,0.18,0.09
Average (learning times) / numAgents,2.3911082E7,20053672.95,12424076.83,10138721.92,12739858.23,8678121.49,6534277.07,7446868.19,6130083.19,4467966.08,5330262.49,4574835.84,2449571.42,4544216.45,2577966.25,2547032.82,2359718.14,2983563.37,3213464.40,2802868.66,1656983.40,2549837.69,6190753.92,3688604.99,3118812.97,3858756.04,2729678.36,3438496.79,3856655.04,2249988.20,4372691.12
Speed-ups * numAgents,1,1.19,1.92,2.36,1.88,2.76,3.66,3.21,3.90,5.35,4.49,5.23,9.76,5.26,9.28,9.39,10.13,8.01,7.44,8.53,14.43,9.38,3.86,6.48,7.67,6.20,8.76,6.95,6.20,10.63,5.47


Stop Walk
Episodes
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
