Gridworld performance test with 60 cores

Parallel Naive
Episodes
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,15841,7010,3833,2756,2012,1558,1322,1000,1380,891,681,848,785,625,401,361,727,440,368,406,779,256,313,375,445,230,238,589,101,480,656
,17179,7877,3973,2681,2071,1441,1031,1463,814,1300,789,580,490,751,825,350,243,670,322,280,401,177,356,162,212,300,495,260,243,247,501
,16758,7700,4051,2503,2088,1531,890,908,882,714,842,805,600,835,370,370,668,309,229,439,238,299,151,448,180,287,335,207,238,224,217
,15024,7898,3571,2587,1820,1584,999,1255,860,766,809,809,748,345,404,806,234,643,307,349,243,224,159,158,307,327,189,202,216,549,123
,15492,8207,3585,2743,1820,1694,1519,963,847,886,809,811,463,331,346,233,790,343,299,239,442,253,440,280,378,112,199,171,86,218,237
,15527,7603,4047,2664,2106,1685,888,790,880,884,799,366,666,784,435,522,248,280,572,397,390,382,253,424,370,194,266,241,53,166,262
,17098,8012,3818,2478,2010,1567,913,956,1158,884,776,479,778,378,256,483,648,460,299,593,257,551,162,268,334,345,125,135,119,284,123
,16721,6482,3905,2429,1990,1554,922,766,918,832,779,829,364,509,720,338,447,477,458,344,196,242,226,145,236,221,250,357,132,343,257
,15248,8169,3584,2618,1880,1519,869,910,924,818,840,388,586,660,821,368,734,327,398,227,426,370,333,492,29,334,386,228,196,221,146
,14719,8157,3802,2733,2016,1659,894,1473,877,806,630,779,503,439,327,620,379,579,236,451,328,195,376,267,276,272,326,130,262,233,184
Average (episodes),15960.7,7711.5,3816.9,2619.2,1981.3,1579.2,1024.7,1048.4,954.0,878.1,775.4,669.4,598.3,565.7,490.5,445.1,511.8,452.8,348.8,372.5,370.0,294.9,276.9,301.9,276.7,262.2,280.9,252.0,164.6,296.5,270.6
Speed-ups,1,2.0697270310575115,4.181587151877178,6.093730910201589,8.05567051935598,10.106826241134751,15.575973455645554,15.223864937046928,16.73029350104822,18.176403598678966,20.583827701831314,23.84329250074694,26.6767507939161,28.214071062400564,32.53965341488277,35.85868344192316,31.18542399374756,35.248895759717314,45.7588876146789,42.84751677852349,43.13702702702703,54.12241437775518,57.64066449981944,52.8675057966214,57.68232743043007,60.872234935164,56.819864720541126,63.336111111111116,96.96658566221143,53.83035413153457,58.98263118994826

Processing Times
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,756983746,381317308,183018648,134505560,96773100,79270604,69503939,74187172,71879312,72488713,68951796,50399882,49899927,47063088,49852470,54646859,48324473,40717365,37289208,22136987,19536597,41020305,22830798,18793164,8234090,18346649,0,3180172,15000,2133371,8702689
,645060249,324436417,179497599,124269593,98816597,72653551,76827094,73384548,74159143,72910165,67097310,59329953,57122146,44448767,40191164,48860253,15614082,18944719,36958747,32596253,43521097,17784113,10078844,10176260,10480030,12208409,8462414,8706447,2933908,8066734,9373484
,580205830,379109793,182131339,123284511,98062052,76366827,70880540,71384506,71275926,63289710,73212228,46926576,38834192,46228195,35126527,40591890,39626446,29084493,41913389,36539680,22185966,19477627,7749389,11031,12274636,17396472,16696028,17952774,3282901,5940476,10718660
,550543376,316057949,184451022,121255801,93945761,77337717,76031605,67457918,71280540,67030032,71042822,52947817,23534452,37488427,36674715,34857371,25436058,18876860,30079505,42715871,37906483,13280069,17781639,10647804,16832420,10222066,5522045,8174272,5020287,0,2464408
,559882625,321360632,176613600,131197396,91009433,79784888,76018753,73207382,69660076,72889155,65376248,60708703,46084021,33944971,31993767,44922256,38090159,42131963,43216459,17583011,28631326,19557922,21550567,46900787,8468573,16562515,8395475,0,8868549,8319222,14669521
,563860032,311058829,175389890,124102673,100207890,80683907,72512307,66855110,71102351,71409090,67145699,50672890,60291294,46955694,26105538,43981721,41942416,40863863,21539032,17079032,25124737,13312892,20944345,10458488,9368073,4767773,17734553,350501,0,10711723,5098343
,589922421,327040428,174841171,120160350,103187681,79039373,72847398,72950566,68107347,73132468,72352569,53687361,44820155,41577955,89756888,23506273,26872100,35443981,32291853,20078867,18703311,28163827,19642852,13957790,26209319,8307366,8100674,10266376,5844648,5157426,12720253
,598696620,294245240,178557368,115755063,94268954,77430169,72881252,64892566,72658236,70872588,63488651,62504681,49431451,40346515,23927721,31472997,42733804,29863371,28838277,23778451,7525123,21526321,21174002,19659158,17311148,8995691,16871013,9640479,24789117,9130383,277332
,557928314,336822710,167335597,123917810,91291251,76452691,70361248,70523886,72827641,70015590,67538946,55764385,39358103,54203158,44027595,9759697,27369363,36349026,35604806,23577884,26790243,16591199,15809827,10947416,1499923,16249045,10461497,4665285,4945939,2767568,5043765
,562029933,329803264,175473656,128945385,94402618,79625131,71103834,74297291,72612160,70175785,64428594,60814185,31301365,46694549,41287206,35781033,35994700,23366509,20084450,23795549,29871580,16336029,32349339,31181343,21157462,12676098,16760426,12278183,5609057,10346779,18681510
