Gridworld performance test with 60 cores

Parallel Naive
Episodes
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,16533,16693,16251,16981,16567,17776,18024,16233,16668,15756,14774,16393,14258,15590,17709,16051,15760,15294,16724,16212,15085,16115,14818,17138,15235,15462,16101,16339,17332,13429,15875
,16386,17200,17601,15432,14688,19091,16118,14724,16364,16510,15463,16776,16575,16719,17484,16428,17218,15790,15974,16721,14924,15923,16276,16850,15870,15275,16498,15540,13859,14948,15862
,15394,16896,17157,16662,17336,16530,14657,16999,16105,16417,14841,13886,15575,14006,17946,16576,15027,19535,16808,14856,14277,15706,15760,16348,17547,15224,16744,16877,16738,16334,14476
,16141,16641,16650,15985,15157,16555,14816,16285,17242,15049,15790,16621,15780,16190,16648,14344,17374,16384,13694,16644,17334,16358,14950,16072,16296,14627,17150,15627,14867,16353,17734
,16578,16666,17265,15715,14372,15686,16257,14942,16044,15128,16113,15190,15113,16333,16737,16074,16914,16010,17249,14640,15219,16678,16143,16401,15235,15761,14474,15223,13049,15714,16972
,15842,16165,17094,15455,16373,15982,15293,16887,16130,16014,16509,16238,15601,19982,16271,16922,17515,17389,13865,16590,14178,15936,15514,15914,15391,17126,16862,13295,16875,15532,17344
,17228,16398,16973,15491,15054,17227,16020,14760,16431,15903,16275,16166,16290,15976,15169,16493,16376,17246,17045,16734,16944,15017,15877,15553,15555,16242,18068,15843,15389,13712,17337
,17025,15112,17797,15179,16918,16678,15699,15926,15821,17110,14983,14994,16316,17039,15117,16816,15554,15789,16627,17039,16786,14959,16338,16162,15816,16311,16979,15758,16423,16699,18058
,16462,17129,15502,11885,17085,16226,14432,15733,13048,15668,17493,14567,16962,17137,15951,16637,17586,18714,14829,16740,16305,16218,16271,15954,15669,14469,16314,16484,15866,16227,17111
,14904,16553,15834,15287,14065,16229,17133,16847,14863,15832,14084,17072,16942,14998,16955,17313,18685,17374,18935,15199,16695,15751,14513,14772,15135,17803,17094,15934,15905,15025,16327
Average (total episodes),16249.3,16545.3,16812.4,15407.2,15761.5,16798.0,15844.9,15933.6,15871.6,15938.7,15632.5,15790.3,15941.2,16397.0,16598.7,16365.4,16800.9,16952.5,16175.0,16137.5,15774.7,15866.1,15646.0,16116.4,15774.9,15830.0,16628.4,15692.0,15630.3,15397.3,16709.6
SD (total episodes),709.54,592.42,748.03,1372.84,1221.03,1005.37,1129.14,879.11,1164.82,623.69,1006.10,1060.74,849.99,1579.92,985.82,804.08,1113.40,1370.07,1625.42,888.47,1166.68,545.46,670.89,659.35,716.63,1058.74,930.21,973.47,1369.22,1122.84,1077.24
Speed-ups,1,0.98,0.97,1.05,1.03,0.97,1.03,1.02,1.02,1.02,1.04,1.03,1.02,0.99,0.98,0.99,0.97,0.96,1.00,1.01,1.03,1.02,1.04,1.01,1.03,1.03,0.98,1.04,1.04,1.06,0.97
Average (total episodes) / numAgents,16249.3,8272.65,4203.10,2567.87,1970.19,1679.80,1320.41,1138.11,991.98,885.48,781.63,717.74,664.22,630.65,592.81,545.51,525.03,498.60,449.31,424.67,394.37,377.76,355.59,350.36,328.64,316.60,319.78,290.59,279.11,265.47,278.49
Speed-ups * numAgents,1,1.96,3.87,6.33,8.25,9.67,12.31,14.28,16.38,18.35,20.79,22.64,24.46,25.77,27.41,29.79,30.95,32.59,36.17,38.26,41.20,43.01,45.70,46.38,49.44,51.32,50.81,55.92,58.22,61.21,58.35

